id,activated,rejected,comment,accessories,ad_text,body_type,drive,engine_type,fuel_consumption,fuel_type,gearbox_type,insurance,location,mark,mileage,model,price,seats_number,state,state_number,year_issued,user_id
1,false,true,"админ: неправильно заполнен госномер","климат-контроль","сдаю авто в аренду","Седан","Передний","ДВС",9.8,"Бензин","Механическая","Страховой полис №943759","","Форд",88000,"Фокус",8.5,5,"без повреждений","КН4509777777-4",2011,2
2,false,false,null,"подогрев сидений","сдаю авто в аренду","Универсал","Передний","ДВС",8.8,"Дизель","Механическая","Страховой полис №555759","","Форд",100000,"Фокус",10.5,5,"без повреждений","КН6501-4",2010,2
3,false,false,null,"круиз-контроль, подогрев сидений","сдаю авто в аренду","Универсал","Передний","ДВС",9.5,"Бензин","Автоматическая","Страховой полис №443000","","Форд",90000,"Мондео",6.5,5,"вмятина на левом крыле","КН9105-4",2010,2
4,true,false,null,"климат-контроль, подогрев сидений","сдаю авто в аренду","Седан","Передний","ДВС",9.1,"Дизель","Механическая","Страховой полис №947759","","Ауди",95000,"А4",15,5,"без повреждений","КН7518-4",2011,2
5,true,false,null,"климат-контроль, ESP","сдаю авто в аренду","Хэтчбэк","Задний","ДВС",9.8,"Бензин","Механическая","Страховой полис №123456","","Ауди",95000,"А4",8.5,5,"без повреждений","КН4219-4",2010,2
6,true,false,null,"ABS, климат-контроль","сдаю авто в аренду","Хэтчбэк","Задний","ДВС",9.8,"Газ","Автоматическая","Страховой полис №545454","","Ауди",100000,"А5",9.5,5,"царапина на переднем бампере","КН3579-4",2011,2
7,true,false,null,"климат-контроль, подогрев сидений","сдаю авто в аренду","Универсал","Передний","ДВС",9.7,"Бензин","Механическая","Страховой полис №221122","","Рено",85000,"Клио",5.5,4,"без повреждений","КН4408-4",2011,2
8,true,false,null,"климат-контроль","сдаю авто в аренду","Седан","Передний","ДВС",9.8,"Бензин","Механическая","Страховой полис №178955","","Рено",88000,"Клио",7,4,"без повреждений","КН9109-4",2009,2
9,true,false,null,"климат-контроль, ABS","сдаю авто в аренду","Седан","Передний","ДВС",9.8,"Бензин","Механическая","Страховой полис №161690","","Рено",88000,"Калеос",18,5,"без повреждений","КН3518-4",2011,2
10,true,false,null,"климат-контроль","сдаю авто в аренду","Седан","Передний","ДВС",9.8,"Газ","Автоматическая","Страховой полис №009011","","Рено",90000,"Дастер",9,5,"трещина на лобовом стекле","КН2522-4",2009,2
11,true,false,null,"климат-контроль, ESP","сдаю авто в аренду","Седан","Передний","ДВС",7.8,"Бензин","Механическая","Страховой полис №077011","","Рено",150000,"Дастер",8.9,5,"Скол на капоте","КН7676-4",2010,2
12,true,false,null,"ABS, климат-контроль, ESP","сдаю авто в аренду","Седан","Передний","ДВС",8.5,"Бензин","Механическая","Страховой полис №15012","","Хонда",65000,"Цивик",11,4,"без повреждений","КН0021-4",2014,2
